step	total_gs	compute_gs	write_gs
1	0.191	0.186	0
2	0.379	0.369	0.001
3	0.565	0.552	0.001
4	0.751	0.733	0.002
5	0.937	0.914	0.003
6	1.123	1.095	0.003
7	1.309	1.277	0.003
8	1.494	1.457	0.003
9	1.679	1.637	0.004
10	1.939	1.818	0.078
11	6600.15	4401.77	0.079
12	13198.6	8801.66	0.08
13	19796.8	13201.7	0.08
14	26395.1	17601.6	0.081
15	32993.4	22001.7	0.082
16	39591.9	26401.7	0.083
17	46190.2	30801.8	0.084
18	52788.6	35202	0.085
19	59386.8	39602.3	0.086
20	65985	44002	0.159
21	65985.2	44002.2	0.16
22	65985.3	44002.3	0.161
23	65985.5	44002.5	0.162
24	65985.7	44002.7	0.162
25	65985.9	44002.9	0.162
26	65986.1	44003.1	0.163
27	65986.3	44003.2	0.164
28	65986.5	44003.4	0.165
29	65986.6	44003.6	0.166
30	65986.9	44003.8	0.24
31	72585	48403.7	0.241
32	79183.1	52803.8	0.242
33	85781.5	57203.9	0.243
34	92379.8	61604	0.244
35	98978.2	66004.1	0.244
36	105576	70404.2	0.245
37	112175	74804.3	0.246
38	118773	79204.6	0.247
39	125371	83605	0.248
40	131970	88005.1	0.321
41	131970	88005.3	0.322
42	131970	88005.5	0.323
43	131970	88005.6	0.324
44	131970	88005.8	0.325
45	131971	88006	0.325
46	131971	88006.2	0.326
47	131971	88006.4	0.326
48	131971	88006.5	0.327
49	131971	88006.7	0.328
50	131972	88006.9	0.402
51	138570	92407.1	0.403
52	145168	96807.2	0.404
53	151767	101207	0.405
54	158366	105608	0.406
55	164964	110008	0.407
56	171562	114408	0.408
57	178160	118809	0.409
58	184759	123209	0.41
59	191357	127609	0.411
60	197956	132009	0.484
61	197956	132009	0.485
62	197956	132009	0.486
63	197956	132010	0.487
64	197956	132010	0.487
65	197957	132010	0.488
66	197957	132010	0.488
67	197957	132010	0.488
68	197957	132011	0.489
69	197957	132011	0.49
70	197958	132011	0.564
71	204556	136411	0.565
72	211154	140811	0.566
73	217752	145211	0.567
74	224350	149611	0.567
75	230949	154011	0.568
76	237547	158411	0.569
77	244146	162811	0.57
78	250744	167211	0.571
79	257343	171612	0.571
80	263941	176012	0.644
81	263941	176012	0.645
82	263942	176012	0.645
83	263942	176012	0.646
84	263942	176012	0.646
