step	total_gs	compute_gs	write_gs
1	0.191	0.186	0
2	0.379	0.369	0.001
3	0.565	0.552	0.002
4	0.751	0.733	0.003
5	0.937	0.915	0.003
6	1.123	1.096	0.003
7	1.309	1.277	0.003
8	1.494	1.457	0.003
9	1.679	1.637	0.003
10	1.938	1.818	0.077
11	4401.89	4401.76	0.078
12	8801.79	8801.66	0.079
13	13201.8	13201.7	0.08
14	17601.7	17601.6	0.081
15	22001.8	22001.7	0.082
16	26401.8	26401.6	0.082
17	30802	30801.8	0.083
18	35202.1	35202	0.083
19	39602.4	39602.2	0.084
20	44002.2	44002	0.157
21	44002.4	44002.1	0.157
22	44002.6	44002.3	0.158
23	44002.8	44002.5	0.158
24	44002.9	44002.7	0.159
25	44003.1	44002.9	0.16
26	44003.3	44003	0.161
27	44003.5	44003.2	0.161
28	44003.7	44003.4	0.161
29	44003.9	44003.6	0.162
30	44004.1	44003.8	0.235
31	48404	48403.7	0.236
32	52804.1	52803.7	0.236
33	57204.2	57203.9	0.237
34	61604.3	61603.9	0.238
35	66004.4	66004	0.239
36	70404.6	70404.2	0.24
37	74804.7	74804.3	0.241
38	79204.9	79204.5	0.242
39	83605.4	83605	0.243
40	88005.5	88005	0.315
41	88005.7	88005.2	0.316
42	88005.9	88005.4	0.317
43	88006.1	88005.6	0.317
44	88006.2	88005.7	0.317
45	88006.4	88005.9	0.318
46	88006.6	88006.1	0.319
47	88006.8	88006.3	0.319
48	88007	88006.5	0.319
49	88007.2	88006.6	0.32
50	88007.4	88006.8	0.393
51	92407.6	92407	0.393
52	96807.7	96807.1	0.394
53	101208	101207	0.394
54	105608	105608	0.395
55	110009	110008	0.395
56	114409	114408	0.396
57	118809	118809	0.396
58	123209	123209	0.396
59	127609	127609	0.396
60	132010	132009	0.468
61	132010	132009	0.469
62	132010	132009	0.47
63	132010	132010	0.471
64	132010	132010	0.471
65	132011	132010	0.471
66	132011	132010	0.471
67	132011	132010	0.471
68	132011	132010	0.472
69	132011	132011	0.473
70	132012	132011	0.546
71	136412	136411	0.547
72	140812	140811	0.548
73	145212	145211	0.549
74	149612	149611	0.549
75	154012	154011	0.55
76	158412	158411	0.551
77	162812	162811	0.552
78	167212	167211	0.553
79	171612	171611	0.554
80	176012	176011	0.626
81	176013	176012	0.626
82	176013	176012	0.626
