step	total_gs	compute_gs	write_gs
1	0.191	0.186	0
2	0.379	0.369	0
3	0.564	0.549	0.001
4	0.75	0.73	0.002
5	0.935	0.911	0.003
6	1.12	1.091	0.003
7	1.306	1.272	0.004
8	1.49	1.452	0.004
9	1.675	1.633	0.004
10	1101.79	1.813	1099.94
11	6603.08	3303.41	1099.94
12	11002.8	5503.63	1099.94
13	16504.3	8805.67	1099.94
14	22005.8	12107.8	1099.94
15	27507.4	15409.6	1099.94
16	33009	18711.4	1099.94
17	38510.3	22012.9	1099.94
18	44011.9	25314.3	1099.94
19	49513.4	28616	1099.94
20	56114.9	31917.5	2200.18
21	56115.1	31917.7	2200.18
22	56115.3	31917.8	2200.18
23	56115.4	31918	2200.18
24	56115.6	31918.2	2200.18
25	56115.8	31918.4	2200.18
26	56116	31918.6	2200.18
27	56116.2	31918.7	2200.18
28	56116.4	31918.9	2200.19
29	56116.6	31919.1	2200.19
30	57216.6	31919.3	3300.08
31	62718.1	35220.9	3300.08
32	67118.2	37421.9	3300.08
33	72619.8	40723.6	3300.08
34	78121.1	44025	3300.08
35	83623.1	47326.7	3300.08
36	89124.6	50628.4	3300.09
37	94626.1	53929.9	3300.09
38	100128	57231.6	3300.09
39	105630	60533.4	3300.09
40	112232	63835.2	4400.37
41	112232	63835.4	4400.37
42	112232	63835.6	4400.37
43	112232	63835.8	4400.38
44	112233	63835.9	4400.38
45	112233	63836.1	4400.38
46	112233	63836.3	4400.38
47	112233	63836.5	4400.38
48	112233	63836.7	4400.38
49	112233	63836.8	4400.38
50	113334	63837	5500.34
51	118835	67138.7	5500.35
52	124336	70440.4	5500.35
53	128736	72640.5	5500.35
54	134238	75942.4	5500.35
55	139739	79244.5	5500.35
56	145241	82546.1	5500.35
57	150742	85847.9	5500.35
58	156244	89149.9	5500.35
59	161745	92451.8	5500.35
60	168347	95753.9	6600.29
61	168347	95754	6600.29
62	168348	95754.2	6600.29
63	168348	95754.4	6600.29
64	168348	95754.6	6600.29
65	168348	95754.8	6600.29
66	168348	95754.9	6600.29
67	168349	95755.1	6600.29
68	168349	95755.3	6600.29
69	168349	95755.5	6600.3
70	169449	95755.7	7700.16
71	174951	99057.5	7700.16
72	180452	102360	7700.16
73	185954	105661	7700.16
74	191455	108963	7700.16
75	196957	112264	7700.16
76	202459	115566	7700.16
77	206859	117766	7700.16
78	212360	121068	7700.16
79	217863	124370	7700.16
80	224464	127672	8800.05
81	224465	127672	8800.05
82	224465	127672	8800.05
83	224465	127672	8800.05
84	224465	127673	8800.05
85	224465	127673	8800.05
86	224466	127673	8800.05
87	224466	127673	8800.05
88	224466	127673	8800.05
89	224466	127673	8800.05
90	225566	127674	9900.06
91	231068	130975	9900.06
92	236570	134277	9900.06
93	242071	137579	9900.06
94	246471	139779	9900.06
95	251973	143081	9900.06
96	257474	146383	9900.06
97	262976	149685	9900.06
98	267376	151886	9900.06
99	272878	155187	9900.07
100	278378	157388	11000.5
101	278378	157388	11000.5
102	278379	157388	11000.5
103	278379	157388	11000.5
104	278379	157389	11000.5
105	278379	157389	11000.5
106	278379	157389	11000.5
107	278379	157389	11000.5
108	278380	157389	11000.5
109	278380	157389	11000.5
110	279480	157390	12100.4
111	284982	160691	12100.4
112	290483	163993	12100.4
113	295985	167295	12100.4
114	301487	169495	12100.4
115	305887	171695	12100.4
116	311389	174997	12100.4
117	316891	178299	12100.4
118	321290	180499	12100.4
119	326792	183801	12100.4
120	333394	187103	14302.3
121	333394	187103	14302.3
122	333394	187104	14302.3
123	333394	187104	14302.3
124	333394	187104	14302.3
125	333394	187104	14302.3
126	333395	187104	14302.3
127	333395	187104	14302.3
128	333395	187105	14302.3
129	333395	187105	14302.3
130	334495	187105	15402.4
131	339997	190407	15402.4
132	345499	193709	15402.4
133	349899	195909	15402.4
134	355400	199211	15402.4
135	359800	201412	15402.4
136	365302	204713	15402.4
137	369702	206913	15402.4
138	375204	210215	15402.4
139	379604	212415	15402.4
140	386205	215717	16502.6
141	386205	215717	16502.6
142	386206	215717	16502.6
143	386206	215718	16502.6
144	386206	215718	16502.6
145	386206	215718	16502.6
146	386206	215718	16502.6
147	386207	215718	16502.6
148	386207	215718	16502.6
149	386207	215719	16502.6
150	387307	215719	17602.5
151	391707	217919	17602.5
152	397208	220119	17602.5
153	402710	223421	17602.5
154	407110	225621	17602.5
155	412611	228923	17602.5
156	418113	232225	17602.5
157	422513	234425	17602.5
158	428015	237727	17602.5
159	433516	241028	17602.5
160	440118	244330	18702.5
161	440118	244330	18702.5
162	440118	244330	18702.5
163	440118	244330	18702.5
164	440119	244331	18702.5
165	440119	244331	18702.5
166	440119	244331	18702.5
167	440119	244331	18702.5
168	440119	244331	18702.5
169	440119	244332	18702.5
170	441219	244332	19802.4
171	445620	246532	19802.4
172	451121	249833	19802.4
173	456622	252034	19802.4
174	462124	255335	19802.4
175	467625	258637	19802.4
176	473126	261939	19802.4
177	478628	265240	19802.4
178	484130	268542	19802.4
179	489631	271844	19802.4
180	496233	275145	20902.4
181	496233	275146	20902.4
182	496233	275146	20902.4
183	496233	275146	20902.4
184	496233	275146	20902.4
185	496234	275146	20902.4
186	496234	275147	20902.4
187	496234	275147	20902.4
188	496234	275147	20902.4
189	496234	275147	20902.4
190	497334	275147	22002.3
191	501734	277348	22002.3
192	507236	280650	22002.3
193	512737	283951	22002.3
194	518239	287253	22002.3
195	523741	290555	22002.3
196	523741	290555	22002.3
197	523741	290555	22002.3
198	523741	290555	22002.3
199	523741	290556	22002.3
200	524841	290556	23101.7
201	530342	293857	23101.7
202	535844	297159	23101.7
203	541345	300461	23101.7
204	546847	303762	23101.7
205	552348	307064	23101.7
206	557850	310366	23101.7
207	562250	312566	23101.7
208	567752	315867	23101.7
209	573254	319169	23101.7
210	578754	321369	24201.9
211	578754	321369	24201.9
212	578754	321370	24201.9
213	578754	321370	24201.9
214	578754	321370	24201.9
215	578755	321370	24201.9
216	578755	321370	24201.9
217	578755	321370	24201.9
218	578755	321371	24201.9
219	578755	321371	24201.9
220	579856	321371	25301.9
221	585357	324673	25302
222	590858	327974	25302
223	596360	331276	25302
224	600760	333476	25302
225	606261	336778	25302
226	610661	338978	25302
227	616163	342280	25302
228	621664	345581	25302
229	626064	347782	25302
230	631564	349982	26402.2
231	631564	349982	26402.2
232	631564	349982	26402.2
233	631565	349982	26402.2
234	631565	349982	26402.2
235	631565	349983	26402.2
236	631565	349983	26402.2
237	631565	349983	26402.2
238	631566	349983	26402.2
239	631566	349983	26402.2
240	632666	349984	27502
241	638167	353285	27502
242	643669	356587	27502
243	648069	358787	27502
244	653570	362089	27502
245	659072	365391	27502
246	664573	368692	27502
247	670075	371994	27502
248	675576	375295	27502
249	681077	378597	27502
250	687679	381899	28601.9
251	687679	381899	28601.9
252	687680	381899	28601.9
253	687680	381899	28601.9
254	687680	381900	28601.9
255	687680	381900	28601.9
256	687680	381900	28601.9
257	687681	381900	28601.9
258	687681	381900	28601.9
259	687681	381901	28601.9
260	688781	381901	29702
261	694283	385203	29702
262	699784	388505	29702
263	705286	391807	29702
264	710787	395109	29702
265	716288	398410	29702
266	721790	401712	29702
267	727292	405014	29702
268	732794	408316	29702
269	738295	411618	29702
270	743796	413818	30802.3
271	743796	413819	30802.3
272	743796	413819	30802.3
273	743796	413819	30802.3
274	743796	413819	30802.3
275	743796	413819	30802.3
276	743797	413819	30802.3
277	743797	413820	30802.3
278	743797	413820	30802.3
279	743797	413820	30802.3
280	744897	413820	31902.4
281	749298	417122	31902.4
282	754799	421520	31902.4
283	759199	423721	31902.4
284	764701	427022	31902.4
285	769101	429223	31902.4
286	774602	432525	31902.4
287	780104	435826	31902.4
288	785605	439128	31902.4
289	791107	442430	31902.4
290	797708	445732	33002.2
291	797708	445732	33002.2
292	797709	445732	33002.2
293	797709	445732	33002.2
294	797709	445732	33002.2
295	797709	445733	33002.2
296	797709	445733	33002.2
297	797709	445733	33002.2
298	797710	445733	33002.2
299	797710	445733	33002.2
300	798810	445733	34102
301	804311	449035	34102
302	809813	452337	34102.1
303	815314	455638	34102.1
304	820816	458940	34102.1
305	826317	462242	34102.1
306	831819	465543	34102.1
307	837321	468845	34102.1
308	842822	472147	34102.1
309	848324	475449	34102.1
310	853824	477649	35202.3
311	853824	477649	35202.3
312	853824	477649	35202.3
313	853824	477650	35202.3
314	853824	477650	35202.3
315	853825	477650	35202.3
316	853825	477650	35202.3
317	853825	477650	35202.3
318	853825	477650	35202.3
319	853825	477651	35202.3
320	854925	477651	36302.1
321	859325	479851	36302.1
322	864827	483152	36302.1
323	870328	486454	36302.1
324	875830	489756	36302.1
325	881331	493057	36302.1
326	886833	496359	36302.1
327	891233	498559	36302.1
328	896734	501861	36302.1
329	902236	505163	36302.1
330	908838	508464	37402.3
331	908838	508465	37402.3
332	908838	508465	37402.3
333	908838	508465	37402.4
334	908838	508465	37402.4
335	908838	508465	37402.4
336	908839	508465	37402.4
337	908839	508466	37402.4
338	908839	508466	37402.4
339	908839	508466	37402.4
340	909939	508466	38502
341	915441	511768	38502
342	920942	515070	38502
343	926444	518372	38502
344	930844	520572	38502
345	936345	523874	38502
346	940745	526074	38502
347	946247	529376	38502
348	951748	532678	38502
349	957250	535980	38502
350	962750	538180	39602.1
351	962750	538180	39602.1
352	962750	538180	39602.1
353	962751	538181	39602.1
354	962751	538181	39602.1
355	962751	538181	39602.1
356	962751	538181	39602.1
357	962751	538181	39602.1
358	962752	538181	39602.1
359	962752	538182	39602.1
360	963852	538182	40702
361	969354	541484	40702
362	974856	544786	40702
363	980358	548088	40702
364	985860	551390	40702
365	991362	554692	40702
366	996864	557994	40702
367	1.00237e+06	561296	40702
368	1.00787e+06	564597	40702
369	1.01227e+06	566797	40702
370	1.01887e+06	570099	41801.5
371	1.01887e+06	570099	41801.5
372	1.01887e+06	570099	41801.5
373	1.01887e+06	570099	41801.5
374	1.01887e+06	570100	41801.5
375	1.01887e+06	570100	41801.5
376	1.01887e+06	570100	41801.5
377	1.01887e+06	570100	41801.5
378	1.01887e+06	570100	41801.5
379	1.01887e+06	570101	41801.5
380	1.01997e+06	570101	42901.6
381	1.02437e+06	572301	42901.6
382	1.02877e+06	574501	42901.6
383	1.03427e+06	577803	42901.6
384	1.03977e+06	581105	42901.6
385	1.04417e+06	583305	42901.6
386	1.04857e+06	586608	42901.6
387	1.05297e+06	588808	42901.6
388	1.05848e+06	592109	42901.6
389	1.06398e+06	595411	42901.6
390	1.07058e+06	598713	44001.7
391	1.07058e+06	598714	44001.7
392	1.07058e+06	598714	44001.7
393	1.07058e+06	598714	44001.7
394	1.07058e+06	598714	44001.7
395	1.07058e+06	598714	44001.7
396	1.07058e+06	598714	44001.7
397	1.07058e+06	598715	44001.7
398	1.07058e+06	598715	44001.7
399	1.07058e+06	598715	44001.7
400	1.07168e+06	598715	45101.4
401	1.07718e+06	602017	45101.4
402	1.08158e+06	604217	45101.4
403	1.08708e+06	607519	45101.4
404	1.09258e+06	610821	45101.4
405	1.09809e+06	614123	45101.4
406	1.10249e+06	616323	45101.4
407	1.10799e+06	619625	45101.4
408	1.11349e+06	622927	45101.4
409	1.11899e+06	626229	45101.4
410	1.12559e+06	629531	47303.6
411	1.12559e+06	629531	47303.6
412	1.12559e+06	629531	47303.6
413	1.12559e+06	629531	47303.6
414	1.12559e+06	629531	47303.6
415	1.12559e+06	629532	47303.6
416	1.12559e+06	629532	47303.6
417	1.12559e+06	629532	47303.6
418	1.12559e+06	629532	47303.6
419	1.12559e+06	629532	47303.6
420	1.12669e+06	629532	48403.6
421	1.1322e+06	632835	48403.6
422	1.1377e+06	636137	48403.6
423	1.1432e+06	639439	48403.6
424	1.1487e+06	642741	48403.6
425	1.1542e+06	646042	48403.6
